name,age,rank
Abdelhak Hameurlaine,34.3,1048
Abdul Mumin Babalola,22.5,738
Abdulhameed Alshatti,18.6,2017
Abdullah Maqdas,28.2,1695
Abedallah Shelbayh,20.0,185
Adam Chadaj,21.2,230
Adam Kellner,25.6,346
Adam Kennedy,20.4,431
Adam Moundir,24.8,458
Adam Neff,22.6,829
Adam Pavlasek,23.6,185
Adam Thompson,26.5,830
Adam Walton,25.2,95
Aditya Hari Sasongko,28.5,1568
Adria Soriano Barrera,24.6,593
Adrian Andreev,19.7,423
Adrian Bodmer,22.9,485
Adrian Bohane,22.9,1416
Adrian Cruciat,25.4,183
Adrian Garcia,27.3,155
Adrian Mannarino,36.3,58
Adrian Menendez Maceiras,33.4,139
Adrian Ungur,33.1,535
Adrian Voinea,28.9,137
Adrians Zguns,27.2,707
Adrien Bossel,30.0,485
Agustin Calleri,32.6,89
Agustin Velotti,24.7,184
Ahmad Rabeea Muhammad,21.9,1428
Ainius Sabaliauskas,19.1,1783
Aisam Ul Haq Qureshi,35.4,1177
Aissa Benchakroun,17.9,1671
Aivaras Balzekas,18.0,1310
Ajeet Rai,20.6,744
Akira Santillan,20.1,168
Alan Fernando Rubio Fierros,25.5,707
Alan Mackin,24.9,369
Alastair Gray,24.0,288
Albano Olivetti,22.1,249
Albert Costa,30.8,249
Albert Montanes,36.4,312
Albert Portas,33.2,133
Albert Ramos,36.1,104
Alberto Berasategui,27.0,111
Alberto Brause,24.6,1135
Alberto Brizzi,24.3,273
Alberto Lim,18.7,1371
Alberto Martin,31.7,136
Aldin Setkic,25.1,268
Alec Beckley,23.2,641
Alejandro Davidovich Fokina,25.3,64
Alejandro Falla,33.2,310
Alejandro Gomez Gb42,23.9,698
Alejandro Gonzalez,29.9,337
Alejandro Hernandez,26.9,267
Alejandro Mendoza,27.9,1290
Alejandro Moro Canas,23.3,240
Alejandro Olivera,22.9,794
Alejandro Tabilo,27.4,22
Aleksandar Kovacevic,26.1,101
Aleksandar Vukic,28.5,85
Aleksandr Nedovyesov,28.4,115
Aleksandre Bakshi,27.1,512
Aleksandre Metreveli,26.4,678
Alen Avidzba,19.6,498
Alessandro Bega,26.5,351
Alessandro Camarco,22.4,540
Alessandro Giannessi,31.1,177
Alessio Di Mauro,32.7,257
Alex Bogdanovic,25.0,189
Alex Bogomolov Jr,30.8,96
Alex Bolt,31.5,210
Alex Calatrava,33.1,188
Alex Clayton,17.6,1281
Alex Corretja,30.8,126
Alex De Minaur,25.6,10
Alex Kim,24.6,156
Alex Knaff,26.7,644
Alex Kuznetsov,27.4,155
Alex Llompart,25.1,1418
Alex Lopez Moron,29.3,119
Alex Michelsen,20.3,41
Alex Molcan,26.1,122
Alex Obrien,30.4,207
Alex Rybakov,26.0,378
Alex Witt,24.2,498
Alexandar Lazarov,24.8,334
Alexandar Lazov,24.6,366
Alexander Blockx,19.5,231
Alexander Blom,22.8,1614
Alexander Bublik,27.3,33
Alexander Bury,24.9,646
Alexander Cozbinov,24.6,816
Alexander Donski,21.5,566
Alexander Erler,23.7,337
Alexander Kudryavtsev,28.8,146
Alexander Merino,24.4,1340
Alexander Peya,31.2,466
Alexander Popp,28.9,276
Alexander Reichel,32.9,1154
Alexander Ritschard,29.0,209
Alexander Sadecky,23.0,437
Alexander Sarkissian,25.7,195
Alexander Shevchenko,23.8,61
Alexander Shvec,30.0,528
Alexander Slabinsky,25.2,558
Alexander Ward,27.1,869
Alexander Waske,32.0,121
Alexander Zgirovsky,20.1,1233
Alexander Zverev,27.5,2
Alexandr Dolgopolov,29.1,37
Alexandre Muller,27.6,70
Alexandre Sidorenko,28.5,255
Alexandre Simoni,23.1,126
Alexandros Jakupovic,32.2,503
Alexandros Skorilas,21.4,1199
Alexei Popyrin,25.2,24
Alexey Kedryuk,28.9,387
Alexey Vatutin,25.4,160
Alexios Halebian,23.1,644
Alexis Galarneau,24.5,200
Alexis Klegou,24.1,1392
Ali Ghareeb,29.9,2005
Alibek Kachmazov,22.0,252
Alistair Hunt,30.2,1332
Aljaz Bedene,33.1,330
Aljaz Radinski,20.0,1279
Aljoscha Thron,18.2,901
Altug Celikbilek,27.3,371
Alun Jones,27.7,125
Alvaro Guillen Meza,20.6,387
Alvaro Lopez San Martin,25.9,298
Alvaro Raposo De Oliveira,19.4,761
Amer Delic,29.7,210
Amine Ahouda,20.3,698
Amir Hadad,27.5,344
Amir Weintraub,29.4,197
Amr Elsayed Abdou Ahmed Mohamed,24.9,735
Amro Ghoneim,28.3,900
Anas Fattar,24.8,767
Andis Juska,27.8,391
Andre Agassi,36.3,39
Andre Gaspar Murta,18.4,912
Andre Ghem,30.9,260
Andre Sa,30.3,423
Andrea Arnaboldi,30.2,221
Andrea Basso,25.5,416
Andrea Collarini,32.4,264
Andrea Gaudenzi,29.5,122
Andrea Pellegrino,23.5,292
Andrea Stoppini,28.4,221
Andrea Vavassori,29.2,206
Andreas Beck,25.9,93
Andreas Fasching,19.5,700
Andreas Haider Maurer,28.5,64
Andreas Seppi,37.9,123
Andreas Vinciguerra,29.3,347
Andrei Cherkasov,29.4,217
Andrei Ciumac,29.4,892
Andrei Daescu,23.5,680
Andrei Gorban,25.9,351
Andrei Karatchenia,19.7,587
Andrei Luzgin,32.0,1311
Andrei Medvedev,27.1,172
Andrei Pavel,33.6,88
Andrei Stoliarov,26.4,172
Andrei Vasilevski,18.1,1237
Andrej Kracman,20.6,408
Andrej Martin,31.8,117
Andrej Nedic,19.2,591
Andreja Petrovic,22.9,1265
Andres Andrade,25.7,250
Andres Artunedo Martinavarro,20.3,340
Andres Martin,21.0,736
Andres Molteni,26.9,280
Andres Pedroso,25.5,286
Andrew Anderson,25.8,1564
Andrew Carlson,25.9,1089
Andrew Harris,26.9,232
Andrew Ilie,25.4,80
Andrew Whittington,23.4,194
Andrey Dernovskiy,20.1,579
Andrey Golubev,27.7,117
Andrey Kumantsov,26.1,347
Andrey Kuznetsov,26.4,70
Andrey Rublev,27.0,9
Andrian Raturandang,24.6,1033
Andy Fahlke,20.9,185
Andy Murray,37.0,129
Andy Ram,26.8,884
Andy Roddick,29.9,22
Anil Yuksel,26.8,502
Anis Ghorbel,26.8,564
Anoosha Shahgholi,29.3,1051
Antal Van Der Duim,18.4,995
Ante Pavic,26.8,449
Anthony Jackie Tang,19.1,1519
Anthony Susanto,25.6,1717
Antoine Bellier,25.9,192
Antoine Escoffier,31.9,172
Antoine Hoang,25.6,156
Antonio Veic,24.4,137
Antony Dupuis,34.3,221
Antso Rakotondramanga,26.9,2018
Aqeel Khan,38.1,1770
Ariel Behar,20.2,1074
Ariez Elyaas Deen Heshaam,18.7,1557
Aristotelis Thanos,22.8,1433
Arjun Kadhe,28.0,778
Arklon Huertas Del Pino,28.5,491
Armin Sandbichler,21.5,570
Arnau Brugues Davi,27.9,184
Arnaud Clement,34.4,139
Arnaud Di Pasquale,25.5,244
Arsenije Zlatanovic,19.4,1421
Artem Derepasko,21.4,272
Artem Dubrivnyy,20.7,424
Artem Sitak,27.1,455
Artem Smirnov,20.1,389
Arthur Cazaux,22.1,85
Arthur De Greef,24.9,138
Arthur Fery,21.9,247
Arthur Fils,20.5,20
Arthur Rinderknech,29.2,60
Arturs Lazdins,19.8,1469
Arvind Parmar,28.0,206
Ashkan Shokoofi,25.5,1078
Aslan Karatsev,31.1,139
Attila Balazs,32.0,87
Attila Savolt,27.3,141
August Holmgren,26.3,166
Augustin Gensse,23.6,433
Austin Krajicek,26.1,130
Axel Michon,23.4,206
Axel Pretzsch,25.6,136
Ayoub Chakrouni,22.8,1206
Ayrton Wibowo,20.8,1356
Aziz Dougaz,27.4,228
Aziz Ouakaa,22.2,884
Balazs Veress,21.7,1321
Bar Tzuf Botzer,20.9,893
Baris Erguden,26.0,1606
Baris Ergun,25.3,1147
Barry Cowan,27.8,251
Barry King,26.4,1013
Bartlomiej Dabrowski,30.8,585
Bartolome Salva Vidal,21.1,326
Bassam Beidas,24.2,1086
Bastian Knittel,27.9,187
Bastian Trinker,25.1,417
Beibit Zhukayev,24.0,213
Ben Ellwood,26.3,827
Ben Patael,22.7,562
Ben Qiang Zhu,25.5,646
Ben Shelton,22.0,19
Benedikt Dorsch,27.1,236
Benjamin Balleret,33.1,735
Benjamin Becker,35.0,102
Benjamin Bonzi,28.4,124
Benjamin Hannestad,19.0,1452
Benjamin Hassan,29.5,195
Benjamin Lock,26.9,430
Benjamin Mitchell,23.0,231
Benoit Paire,35.1,227
Bernabe Zapata Miralles,27.0,79
Bernard Tomic,28.3,233
Bernardo Mota,31.7,312
Bernd Karbacher,32.2,442
Billy Harris,29.6,101
Bing Chao Lin,26.4,1010
Bjorn Fratangelo,28.0,190
Bjorn Phau,34.3,358
Bjorn Rehnquist,30.5,226
Blaise Bicknell,22.1,319
Blake Mott,24.7,481
Blake Strode,24.5,393
Blaz Kavcic,31.3,176
Blaz Rola,32.9,457
Blazej Koniusz,19.9,524
Bob Borella,20.0,1147
Bob Bryan,26.8,918
Bobby Reynolds,30.9,156
Bogdan Borza,20.8,797
Bohdan Ulihrach,32.2,199
Bor Artnak,18.2,783
Boris Pashanski,25.6,130
Borna Coric,27.9,96
Borna Gojo,26.5,439
Bostjan Osabnik,22.9,406
Botic Van De Zandschulp,29.1,80
Bowen Ouyang,22.3,1098
Boy Westerhof,27.7,236
Bradley Klahn,29.0,97
Brandon Holt,24.7,215
Brandon Nakashima,23.2,38
Brandon Perez,21.6,1921
Branko Djuric,19.7,781
Brayden Schnur,23.6,154
Brendan Evans,24.2,318
Brian Baker,31.2,437
Brian Dabul,26.9,99
Brian Macphie,27.7,419
Brian Vahaly,26.6,164
Brian Wilson,23.7,539
Bruno Abdel Nour,20.1,1135
Bruno Agostinelli,22.2,1776
Bruno Echagaray,25.8,356
Bruno Rodriguez,25.8,914
Bruno Rosa,18.4,1124
Bruno Soares,23.0,347
Brydan Klein,27.0,324
Bu Yunchaokete,22.7,72
Byron Black,32.4,169
Caio Zampieri,24.6,316
Calvin Hemery,23.3,127
Cameron Norrie,29.2,57
Camilo Ugo Carabelli,25.0,96
Candy Idoko,21.7,1090
Carl Soderlund,19.1,479
Carlos Alcaraz,21.5,3
Carlos Alvarez,19.1,1488
Carlos Avellan,26.9,321
Carlos Berlocq,35.0,131
Carlos Cuadrado,22.8,225
Carlos Gimeno Valero,20.8,369
Carlos Gomez Herrera,22.0,671
Carlos Moya,33.5,639
Carlos Palencia,23.8,628
Carlos Salamanca,27.1,183
Carlos Taberner,24.7,92
Carsten Ball,23.1,145
Casper Ruud,25.8,7
Catalin Gard,26.1,250
Cayetano March,19.1,748
Cecil Mamiit,34.2,515
Cedric Kauffmann,25.2,250
Cedric Pioline,33.1,125
Cedrik Marcel Stebe,31.3,231
Cem Ilkel,28.2,259
Cesar Ramirez,22.1,541
Cezar Cretu,23.3,292
Charalampos Kapogiannis,24.2,949
Charles Broom,26.1,248
Chase Buchanan,23.1,172
Chemseddine Belal,23.4,553
Cheng Yu Yu,22.8,699
Chia Yen Tsai,25.0,1312
Chieh Fu Wang,22.0,1047
Chris Eaton,21.2,383
Chris Guccione,27.9,510
Chris Rodesch,23.1,507
Chris Woodruff,28.6,90
Christian Harrison,28.0,251
Christian Lindell,25.3,363
Christian Ruud,28.6,162
Christian Sigsgaard,24.5,1083
Christian Vinck,26.0,149
Christophe Bosio,24.2,1152
Christophe Rochus,30.8,84
Christopher Diaz Figueroa,27.8,630
Christopher Eubanks,28.2,120
Christopher Koderisch,18.5,1355
Christopher Oconnell,30.4,71
Christopher Rungkat,26.1,462
Chu Huan Yi,22.4,514
Chuhan Wang,22.6,553
Chun Hsin Tseng,22.9,159
Chun Hun Wong,22.4,978
Claude Ngoran,28.3,486
Clay Thompson,22.1,2159
Clemens Trimmel,22.8,148
Clement Chidekh,21.6,434
Clement Morel,23.9,523
Clement Reix,28.9,502
Clint Bowles,19.2,1401
Coleman Wong,20.2,141
Colin Ebelthite,24.1,254
Colin Fleming,27.0,721
Colin Obrien,28.9,1004
Colin Sinclair,28.1,461
Collin Altamirano,22.7,345
Conner Huertas Del Pino,27.1,586
Conor Gannon,22.2,1294
Conor Niland,29.7,171
Constant Lestienne,31.7,100
Corentin Moutet,25.5,66
Courtney John Lock,19.3,2147
Cristian Garin,28.2,115
Cristian Paiz,24.5,963
Cristian Rodriguez,27.6,388
Cristiano Caratti,31.0,194
Cristobal Saavedra Corvalan,19.9,410
Cyril Saulnier,31.4,259
Dac Tien Nguyen,24.0,1859
Dalibor Svrcina,20.9,167
Damian Patriarca,23.0,284
Damir Dzumhur,32.3,86
Danai Udomchoke,33.0,293
Dane Sweeny,22.6,273
Daniel Alejandro Lopez Cassaccia,22.5,702
Daniel Altmaier,26.1,88
Daniel Brands,31.5,180
Daniel Cox,23.7,214
Daniel Cukierman,29.1,508
Daniel Danilovic,20.9,527
Daniel Dutra Da Silva,34.0,215
Daniel Elahi Galan,28.1,124
Daniel Elsner,26.7,339
Daniel Evans,34.3,180
Daniel Garza,29.8,483
Daniel Gimeno Traver,30.9,131
Daniel Glancy,24.3,854
Daniel King Turner,28.8,366
Daniel Koellerer,26.7,106
Daniel Kosakowski,19.4,482
Daniel Masur,23.7,349
Daniel Melo,25.1,301
Daniel Michalski,18.2,1334
Daniel Munoz de la Nava,34.4,138
Daniel Nestor,31.0,488
Daniel Rincon,21.2,216
Daniel Smethurst,23.6,234
Daniel Vacek,30.5,456
Daniel Vallverdu,20.5,1258
Daniel Willman,26.8,353
Daniel Windahl,19.6,930
Daniele Bracciali,29.3,125
Daniil Glinka,19.8,961
Daniil Medvedev,28.7,4
Danilo Petrovic,28.7,166
Danylo Kalenichenko,22.6,657
Darian King,32.3,1230
Dario Acosta,21.4,1447
Darius Florin Bragusi,18.7,942
Darko Bojanovic,21.5,958
Darwin Blanch,16.5,1028
David Agung Susanto,28.6,1346
David Caldwell,26.1,1028
David Ferrer,37.0,144
David Goffin,33.8,54
David Guez,26.9,179
David Jorda Sanchis,29.7,329
David Luque Velasco,22.1,596
David Marrero,29.8,158
David Martin,26.5,725
David Miketa,25.1,208
David Mullins,30.5,1262
David Nalbandian,31.1,93
David Prinosil,29.4,259
David Sanchez,27.2,128
David Sherwood,25.1,261
David Skoch,30.1,730
David Souto,23.2,706
David Vega Hernandez,20.8,440
David Wheaton,31.0,436
Davide Sanguinetti,34.4,112
Dawid Olejniczak,24.9,306
Dawood Sayed Hashim,18.6,1969
Dean Obrien,23.4,563
Dejan Petrovic,22.2,169
Dekel Valtzer,21.7,441
Demetris Azoides,23.9,1054
Denes Lukacs,21.3,1518
Denis Golovanov,24.5,729
Denis Gremelmayr,30.3,189
Denis Istomin,35.4,267
Denis Kudla,31.4,174
Denis Matsukevitch,21.5,385
Denis Shapovalov,25.5,78
Denis Yevseyev,31.1,160
Deniss Pavlovs,27.8,533
Dennis Lajola,23.0,719
Dennis Novak,28.8,153
Dennis Novikov,23.6,203
Dennis Van Scheppingen,31.6,278
Denys Molchanov,24.8,239
Devin Badenhorst,18.6,1717
Devin Britton,18.8,1461
Devin Mullings,23.7,1006
Di Wu,28.0,339
Dias Doskarayev,17.9,971
Dick Norman,38.2,263
Didac Perez,20.6,193
Diego Acuna,22.8,891
Diego Ayala,24.2,1223
Diego Cubas,18.3,1102
Diego Fernandez Flores,21.3,832
Diego Galeano,20.1,788
Diego Hartfield,27.0,99
Diego Hidalgo,18.8,974
Diego Junqueira,31.0,125
Diego Moyano,28.9,247
Diego Nargiso,30.6,149
Diego Schwartzman,31.1,113
Diego Veronelli,23.7,232
Dieter Kindlmann,23.9,438
Digvijaypratap Singh,23.2,544
Dimitar Grabuloski,28.6,1340
Dimitar Kutrovsky,27.8,329
Dimitar Kuzmanov,29.6,207
Dimitri Mazur,24.4,863
Dinko Halachev,29.4,1155
Dino Marcan,21.9,377
Dino Prizmic,18.1,165
Dinu Pescariu,26.4,590
Diogo Rocha,20.7,638
Dmitri Tomashevich,27.5,342
Dmitrii Baskov,20.5,2018
Dmitriy Makeyev,21.3,930
Dmitro Tolok,18.4,1031
Dmitry Popko,21.2,231
Dmitry Tursunov,34.6,820
Dmitry Vlasov,18.9,288
Dominic Inglot,27.5,941
Dominic Stricker,22.1,258
Dominic Thiem,30.5,91
