name,age,rank
Abd Hazli Bin Zainuddin,28.2,-1
Abdelhak Hameurlaine,34.9,1168
Abdul Mumin Babalola,22.3,736
Abdulhameed Alshatti,18.5,2000
Abdulhamid Mubarak,21.8,-1
Abdulla Hajji,18.0,-1
Abdullah Maqdas,22.5,1161
Abdulrahman Alawadhi,24.0,-1
Abedallah Shelbayh,19.8,229
Adam Chadaj,21.2,236
Adam Hornby,20.9,-1
Adam Jaya,18.6,-1
Adam Kellner,23.2,573
Adam Kennedy,19.9,531
Adam Moundir,26.2,652
Adam Neff,22.6,829
Adam Pavlasek,22.4,128
Adam Thompson,24.2,888
Adam Walton,25.1,113
Adel Al Shatti,28.4,-1
Adelo Abadia,24.4,-1
Aditya Hari Sasongko,25.2,1383
Adolfo Daniel Vallejo,16.0,-1
Adria Soriano Barrera,24.8,549
Adrian Andreev,19.2,477
Adrian Bodmer,22.9,485
Adrian Bohane,22.9,1416
Adrian Cruciat,25.3,172
Adrian Forberg Skogeng,19.9,-1
Adrian Garcia,26.0,185
Adrian Mannarino,29.9,53
Adrian Menendez Maceiras,31.1,144
Adrian Ungur,28.6,166
Adrian Voinea,27.3,89
Adrians Zguns,25.8,654
Adrien Bossel,28.4,361
Agustin Calleri,28.2,52
Agustin Velotti,21.9,325
Ahmad Rabeea Muhammad,20.2,1573
Ainius Sabaliauskas,16.8,1783
Aisam Ul Haq Qureshi,28.7,351
Aissa Benchakroun,17.9,1671
Aivaras Balzekas,18.1,1307
Ajeet Rai,23.1,665
Akash Wagh,16.5,-1
Akira Santillan,19.8,195
Alan Fernando Rubio Fierros,24.9,776
Alan Mackin,23.6,280
Alastair Gray,23.0,570
Albano Olivetti,21.8,303
Albert Costa,27.1,34
Albert Montanes,27.8,66
Albert Portas,28.7,74
Albert Ramos,29.4,55
Alberto Berasategui,26.8,82
Alberto Brause,24.5,1136
Alberto Brizzi,24.3,273
Alberto Emmanuel Alvarado Larin,21.4,-1
Alberto Lim,18.6,1371
Alberto Martin,25.4,65
Aldin Setkic,24.1,319
Alec Beckley,22.4,664
Alejandro Davidovich Fokina,23.0,48
Alejandro Falla,27.0,108
Alejandro Gomez Gb42,23.9,698
Alejandro Gonzalez,26.1,136
Alejandro Hernandez,24.4,255
Alejandro Mendoza,27.9,1290
Alejandro Moro Canas,23.4,223
Alejandro Olivera,22.9,794
Alejandro Tabilo,25.9,80
Aleksandar Kovacevic,25.3,109
Aleksandar Vukic,27.3,103
Aleksandr Nedovyesov,27.5,148
Aleksandre Bakshi,26.0,676
Aleksandre Metreveli,27.0,633
Alen Avidzba,19.6,498
Alessandro Bega,26.5,351
Alessandro Camarco,22.4,540
Alessandro Giannessi,26.5,156
Alessio Di Mauro,28.8,110
Alex Bogdanovic,22.1,224
Alex Bogomolov Jr,26.5,98
Alex Bolt,27.6,193
Alex Calatrava,28.9,92
Alex Clayton,17.6,1281
Alex Corretja,27.8,33
Alex De Minaur,22.5,34
Alex Diaz,18.7,-1
Alex Fairbanks,21.9,-1
Alex Kim,23.7,185
Alex Knaff,23.7,560
Alex Kuznetsov,23.7,212
Alex Llompart,22.8,1136
Alex Lopez Moron,29.3,125
Alex Michelsen,19.6,78
Alex Molcan,24.7,84
Alex Obrien,30.5,217
Alex Rybakov,26.0,378
Alex Witt,24.2,498
Alexandar Lazarov,22.5,459
Alexandar Lazov,24.0,457
Alexander Blockx,19.1,377
Alexander Blom,21.1,1266
Alexander Bublik,24.5,50
Alexander Bury,23.6,634
Alexander Cozbinov,24.6,816
Alexander Donski,20.5,1048
Alexander Erler,23.7,337
Alexander Kudryavtsev,25.7,198
Alexander Merino,24.4,1340
Alexander Peya,26.0,174
Alexander Popp,26.2,129
Alexander Reichel,32.9,1154
Alexander Ritschard,28.8,188
Alexander Sadecky,23.3,425
Alexander Sarkissian,26.5,242
Alexander Shevchenko,23.0,72
Alexander Shvec,29.4,514
Alexander Skrypko,16.5,-1
Alexander Slabinsky,23.7,444
Alexander Tavkhelidze,19.7,-1
Alexander Vasquez,24.0,-1
Alexander Ward,25.6,435
Alexander Waske,29.9,120
Alexander Zgirovsky,20.1,1233
Alexander Zverev,22.8,21
Alexandr Dolgopolov,24.8,42
Alexandr Zotov,17.9,-1
Alexandre Muller,26.6,108
Alexandre Sidorenko,22.5,329
Alexandre Simoni,22.3,130
Alexandros Jakupovic,25.6,710
Alexandros Skorilas,22.4,982
Alexandru Andronachi,19.1,-1
Alexei Popyrin,22.7,83
Alexey Kedryuk,24.4,586
Alexey Vatutin,27.5,215
Alexios Halebian,23.1,644
Alexis Galarneau,23.9,232
Alexis Klegou,25.8,1555
Ali Ghareeb,25.3,1967
Ali Hamadeh,26.1,-1
Ali Ismaeel,19.6,-1
Alibek Kachmazov,20.8,454
Alistair Hunt,28.6,1146
Aljaz Bedene,27.9,81
Aljaz Radinski,20.0,1279
Aljoscha Thron,18.1,1187
Alti Vahkal,27.8,-1
Altug Celikbilek,23.9,322
Alun Jones,25.9,207
Alvaro Guillen Meza,20.8,350
Alvaro Lopez San Martin,25.9,298
Alvaro Raposo De Oliveira,19.4,761
Amaury Gomez,28.3,-1
Amer Delic,25.2,162
Amer Naow,25.1,-1
Americo Venero Montes,28.0,-1
Amine Ahouda,20.0,819
Amir Hadad,25.4,330
Amir Hossein Badi,19.1,-1
Amir Milushev,17.6,-1
Amir Weintraub,27.1,224
Amr Elsayed Abdou Ahmed Mohamed,23.8,755
Amro Ghoneim,27.9,783
Anas Fattar,24.8,767
Andis Juska,23.1,401
Ando Rasolomalala,21.6,-1
Andre Agassi,32.6,5
Andre Gaspar Murta,18.4,912
Andre Ghem,29.2,278
Andre Sa,24.7,98
Andrea Arnaboldi,28.8,206
Andrea Basso,25.5,416
Andrea Collarini,30.9,237
Andrea Gaudenzi,28.0,86
Andrea Pellegrino,24.8,246
